Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Login-Repo/Login_button(loginpage)""))",Chrome 112.0.0.0,,,2023-04-07 03:29:00,2023-04-07 03:29:00,0.350s,PASSED
delay(2),Chrome 112.0.0.0,,,2023-04-07 03:29:00,2023-04-07 03:29:02,2.016s,PASSED
"verifyElementText(findTestObject(""Login-Repo/Assert-verify-element/assert-error_incorrect-username-or-password""), ""Incorrect username or password."")",Chrome 112.0.0.0,,,2023-04-07 03:29:02,2023-04-07 03:29:03,0.295s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-07 03:29:03,2023-04-07 03:29:03,0.643s,PASSED
Video,Chrome 112.0.0.0,,,2023-04-07 03:29:05,2023-04-07 03:29:05,0.001s,PASSED
,,,,,,,
Test Cases/LOGIN/Login with email/LOG-07,Chrome 112.0.0.0,Login dengan email yang tidak terdaftar dan kata sandi yang benar.,,2023-04-07 03:29:05,2023-04-07 03:29:24,19.210s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 112.0.0.0,,,2023-04-07 03:29:05,2023-04-07 03:29:05,0.001s,PASSED
"openBrowser("""")",Chrome 112.0.0.0,,,2023-04-07 03:29:05,2023-04-07 03:29:07,1.079s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-04-07 03:29:07,2023-04-07 03:29:07,0.128s,PASSED
navigateToUrl(website),Chrome 112.0.0.0,,,2023-04-07 03:29:07,2023-04-07 03:29:09,2.095s,PASSED
"click(findTestObject(""Login-Repo/Login_button(homepage)""))",Chrome 112.0.0.0,,,2023-04-07 03:29:09,2023-04-07 03:29:15,6.593s,PASSED
"setText(findTestObject(""Login-Repo/Email_inputText""), validate_email_1)",Chrome 112.0.0.0,,,2023-04-07 03:29:15,2023-04-07 03:29:18,2.847s,PASSED
"setText(findTestObject(""Login-Repo/Password_inputText""), Valid_password)",Chrome 112.0.0.0,,,2023-04-07 03:29:18,2023-04-07 03:29:19,0.652s,PASSED
"click(findTestObject(""Login-Repo/RememberMe_check_button""))",Chrome 112.0.0.0,,,2023-04-07 03:29:19,2023-04-07 03:29:19,0.329s,PASSED
"click(findTestObject(""Login-Repo/Login_button(loginpage)""))",Chrome 112.0.0.0,,,2023-04-07 03:29:19,2023-04-07 03:29:19,0.332s,PASSED
delay(2),Chrome 112.0.0.0,,,2023-04-07 03:29:19,2023-04-07 03:29:21,2.007s,PASSED
"verifyElementText(findTestObject(""Login-Repo/Assert-verify-element/assert-error_incorrect-username-or-password""), ""Incorrect username or password."")",Chrome 112.0.0.0,,,2023-04-07 03:29:21,2023-04-07 03:29:22,0.305s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-04-07 03:29:22,2023-04-07 03:29:22,0.658s,PASSED
Video,Chrome 112.0.0.0,,,2023-04-07 03:29:24,2023-04-07 03:29:24,0.000s,PASSED
,,,,,,,
Test Cases/LOGIN/Login with email/LOG-08,Chrome 112.0.0.0,"Login menggunakan email yang tidak valid (tanpa menggunakan ""."")",,2023-04-07 03:29:24,2023-04-07 03:29:40,15.441s,PASSED
